Product_category,Description,Price,Image
Washing machine,"Haier Washing Machine	805..","2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/8050-1-247x260.jpg
Washing machine,"Haier Washing Machine	806..","3,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/haier-8060-1-247x260.jpg
Washing machine,Kenwood 8kg Single Tub Wa..,"3,900.00",https://salmanelectronics.com/wp-content/uploads/2020/10/Kenwood-8kg-Single-Tub-Washer-KWM-899W0-salmanelectronics-247x260.jpg
Washing machine,Kenwood machine Kw 1010,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2020/10/kenwood-1010-salman-electronics-1-247x260.jpg
Washing machine,ORIENT AUTO 10 SUPER GREY..,"8,900.00",https://salmanelectronics.com/wp-content/uploads/2020/01/orient_auto_top_load_fully_automatic_washing_machine_8_kg_new_3-247x260.jpg
Washing machine,ORIENT AUTO 7 SUPER GREY,"5,900.00",https://salmanelectronics.com/wp-content/uploads/2020/01/images-2-247x260.jpg
Washing machine,PEL PWMS 8050,"4,500.00",https://salmanelectronics.com/wp-content/uploads/2020/01/8050-247x260.jpg
Washing machine,PEL Washing Machine PWMS ..,"6,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/Capture-247x260.png
Washing machine,Washing Machine KE-4000-B..,"2,900.00",https://salmanelectronics.com/wp-content/uploads/2019/06/KE-4000-BS-247x260.jpg
Washing machine,Washing Machine KE-4500-B..,"3,900.00",https://salmanelectronics.com/wp-content/uploads/2019/06/KE-4500-BS-247x260.jpg
Washing machine,Washing Machine KE-9500-B..,"8,900.00",https://salmanelectronics.com/wp-content/uploads/2019/06/KE-9500-BS-247x260.jpg
Washing machine,Westpoint Single Tub Tran..,"1,100.00",https://salmanelectronics.com/wp-content/uploads/2020/11/up-247x260.png
Washing machine,Westpoint Single Tub Wash..,"2,400.00",https://salmanelectronics.com/wp-content/uploads/2020/11/up2-247x260.png
Water geyser,CANNON GEYSER ELECTRIC 10..,"0,500.00",https://salmanelectronics.com/wp-content/uploads/2019/12/download-14-183x260.jpg
Water geyser,Singer Instant Electric G..,"8,900.00",https://salmanelectronics.com/wp-content/uploads/2020/10/WhatsApp-Image-2020-10-31-at-1.22.57-PM-247x260.jpeg
Iron,Dry Iron WF-78B,",500.00",https://salmanelectronics.com/wp-content/uploads/2021/02/westpoint_dry_iron_wf-78b_15000_2-247x260.jpg
Iron,Gaba National Dry Iron (G..,",200.00",https://salmanelectronics.com/wp-content/uploads/2020/11/iron-247x260.png
Iron,Kenwood 2400W Electric St..,",000.00",https://salmanelectronics.com/wp-content/uploads/2020/10/isp-201_-salman-electronics-247x260.jpg
Juicer,Big Apple Juicer with Ble..,",200.00",https://salmanelectronics.com/wp-content/uploads/2021/02/585ba119c7dd3283a8dc9d56ec7d5ff2.jpg_720x720q80__51676_zoom-247x260.jpg
Juicer,Gaba National Juicer Blen..,",500.00",https://salmanelectronics.com/wp-content/uploads/2020/11/juicer-247x260.png
Juicer,Juicer Blender Drymill WF..,",100.00",https://salmanelectronics.com/wp-content/uploads/2021/02/westpoint_juicer_blender_wf-8813_1500_3-247x260.jpg
Juicer,Kenwood food processor fp..,"1,300.00",https://salmanelectronics.com/wp-content/uploads/2020/10/kenwood_food_processor_fp190-salman-electronics-247x260.jpg
Juicer,Westpoint Deluxe Juicer B..,",300.00",https://salmanelectronics.com/wp-content/uploads/2021/02/westpoint_juicer_blender_wf-7201_15000_3-247x260.jpg
Refrigerator,Crystal 260 Liters Refrig..,"2,500.00",https://salmanelectronics.com/wp-content/uploads/2019/09/orient_crystal_225_freezer-on-top_refrigerator_8_cu_ft_glaze_golden-247x260.jpg
Refrigerator,Crystal 350 Liters Refrig..,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2019/09/Space-Black-350-247x260.jpg
Refrigerator,Dawlance 91996-GD Inverte..,"9,800.00",https://salmanelectronics.com/wp-content/uploads/2020/11/mgd-768x488123123-1-247x260.jpg
Refrigerator,DAWLANCE REFREGERATOR 916..,"0,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/EDS-NEW-LIN-EART-01-247x260.png
Refrigerator,Dawlance Refrigerator 915..,"2,500.00",https://salmanelectronics.com/wp-content/uploads/2020/11/LF-GD-SERIES-02-247x260.png
Refrigerator,Dawlance Refrigerator GD ..,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/ref-247x260.png
Refrigerator,Dawlance Refrigerator GD ..,"9,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/R3-REF-LINEART-05-b-247x260.png
Refrigerator,Diamond 380 Liters Refrig..,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2019/09/dia-380-01-min-247x260.png
Refrigerator,Diamond 470 Liters Refrig..,"4,000.00",https://salmanelectronics.com/wp-content/uploads/2019/09/11_4af5b96b-f782-481f-998b-b9b3f0621f59-1-247x260.jpg
Refrigerator,Grand 205 Liters Refriger..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/09/205.jpg
Refrigerator,Grand 475L,"8,000.00",https://salmanelectronics.com/wp-content/uploads/2020/04/WhatsApp-Image-2020-04-18-at-12.11.03-PM-247x260.jpeg
Refrigerator,HAIER 136 WL,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2020/02/m_123456-247x260.png
Refrigerator,Haier Refrigerator HRF 21..,"1,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HRF-216EBSorEBD-1-247x260.jpg
Refrigerator,Haier Refrigerator HRF 24..,"4,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HRF-246EBSorEBD-247x260.png
Refrigerator,Haier Refrigerator HRF 30..,"0,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HRF-306EBSorEBD-247x260.jpg
Refrigerator,Haier Refrigerator HRF 30..,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HRF-306EPCorEPB-247x260.png
Refrigerator,Haier Refrigerator HRF 33..,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HRF-336EPC-1-247x260.jpg
Refrigerator,HAIER REFRIGERATOR HRF 36..,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/W020180519454804556870-247x260.jpg
Refrigerator,HAIER REFRIGERATOR HRF 36..,"3,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/W020180519496658657784-247x260.jpg
Refrigerator,HAIER REFRIGERATOR HRF-21..,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2019/08/216-247x260.jpg
Refrigerator,Haier Refrigerator HRF-24..,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2019/08/Haier-HRF-246-EPR-Resize-247x260.jpg
Refrigerator,Haier Refrigerator HRF-27..,"8,000.00",https://salmanelectronics.com/wp-content/uploads/2019/08/276-ebs-ebd-3-min-247x260.png
Refrigerator,Haier Refrigerator HRF-27..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/08/Haier-HRF-368EPB-Resize-247x260.jpg
Refrigerator,HAIER REFRIGERATOR HRF-36..,"9,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/W020180519545511180097-247x260.jpg
Refrigerator,HAIER REFRIGERATOR HRF-39..,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/398-EBS-247x260.png
Refrigerator,HAIER REFRIGERATOR HRF-43..,"0,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/W020180519505539153414-247x260.jpg
Refrigerator,HAIER REFRIGERATOR HRF-43..,"6,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/W020180519508795531231-247x260.jpg
Refrigerator,Haier Refrigerator Turbo ..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/08/438tdc-tdb-03-min-247x260.png
Refrigerator,HR 126WL,"8,900.00",https://salmanelectronics.com/wp-content/uploads/2019/12/Haier-HR-136WL-01-Resize-247x260.jpg
Refrigerator,HRF-398-EBS,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/simple_pics_new_27_-247x260.png
Refrigerator,HRF-438IDB,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/haier-hrf-438-idb-inverter-refrigerator-247x260.png
Refrigerator,Ice 470Liters Refrigerato..,"0,900.00",https://salmanelectronics.com/wp-content/uploads/2020/07/Orient-Ice-470-247x260.jpg
Refrigerator,ORIENT CRYSTAL 380,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/orient_crystal_380_freezer-on-top_refrigerator_14_cu_ft_glaze_golden-247x260.jpg
Refrigerator,ORIENT CRYSTAL 470,"4,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/Space-Red-470-247x260.jpg
Refrigerator,Orient Refrigerator 260\5..,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/5535-IP-247x260.png
Refrigerator,Orient Refrigerator DELUX..,"8,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/Deluxe-3500-247x260.jpg
Refrigerator,Orient Refrigerator ICE 3..,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/5554-IP-MP-1-247x260.jpg
Refrigerator,Orient Refrigerator ICE28..,"9,800.00",https://salmanelectronics.com/wp-content/uploads/2019/06/5544-IP-247x260.png
Refrigerator,Orient Ruby 280 Freezer-o..,"4,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/ruby-planet-red_366278aa-be9e-4553-b9c2-5ac5d2d5ed6a__53700_zoom-247x260.jpg
Refrigerator,Pel  Refrigerator PRL 220..,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/PRAS-2200-EW-247x260.jpg
Refrigerator,PEL 2000 LIFE,"1,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/pel-refrigerator-2000-life-image1-247x260.jpeg
Refrigerator,PEL 2350 GD,"1,500.00",https://salmanelectronics.com/wp-content/uploads/2019/12/pel_desire_freezer-on-top_refrigerator_purple_blaze_8_cu_ft_prgd-2350_new_1_1_1-247x260.jpg
Refrigerator,PEL 2550 GD,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/2550-gd-1000x1000-247x260.jpg
Refrigerator,PEL Jumbo Refrigerator Gl..,"9,700.00",https://salmanelectronics.com/wp-content/uploads/2020/07/gdrb390_1-247x260.jpg
Refrigerator,PEL Jumbo Refrigerator Gl..,"9,900.00",https://salmanelectronics.com/wp-content/uploads/2020/07/gdrb390_1-1-247x260.jpg
Refrigerator,PEL PRGD 21950,"0,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/pmi-410_non_inv_-247x260.jpg
Refrigerator,PEL PRGD 22250,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/2550-gd-1000x1000-247x260.jpg
Refrigerator,PEL PRL 21850,"8,800.00",https://salmanelectronics.com/wp-content/uploads/2019/12/download-7.jpg
Refrigerator,PEL PRL 21950,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/cde661ee29d95085ebe1edca62ed5ee6-1-247x260.jpg
Refrigerator,PEL PRL 22250,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/lcg440-1-247x260.jpg
Refrigerator,"Pel Refrigerator	PRL 2350..","0,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/PRAS-2300-EW-247x260.jpg
Refrigerator,Pel Refrigerator PRL 2550..,"3,900.00",https://salmanelectronics.com/wp-content/uploads/2019/06/PRAS-2500-EW-247x260.jpg
Refrigerator,PRGD 21850,"9,700.00",https://salmanelectronics.com/wp-content/uploads/2019/12/1c5c5786b30ae1f10c3bf2ecba7f55b6-1006x1000-247x260.jpg
Refrigerator,REF 9173 WB AVANTE,"2,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/R3-REF-LINEART-05-b-247x260.png
Refrigerator,"Waves Refrigerator	WR-309..","3,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/WR-309-VISTA-247x260.jpg
Refrigerator,"Waves Refrigerator	WR-311..","6,400.00",https://salmanelectronics.com/wp-content/uploads/2019/06/WR-311-VISTA-247x260.jpg
Refrigerator,"Waves Refrigerator	WR-315..","4,800.00",https://salmanelectronics.com/wp-content/uploads/2019/06/GLASS-DOOR-1-247x260.jpeg
Electric Kettle,Pel Automatic Electric Ke..,",500.00",https://salmanelectronics.com/wp-content/uploads/2021/01/pel_automatic_electric_kettle_sl-083-18_-247x260.jpg
Sandwich maker,Kenwood SMM-01 3 in 1 San..,",000.00",https://salmanelectronics.com/wp-content/uploads/2020/10/salman-electronics-Kenwood-SMM-01-3-in-1-Sandwich-Maker-1-247x260.jpg
Sandwich maker,Pel 4 Slice Sandwich Make..,",700.00",https://salmanelectronics.com/wp-content/uploads/2020/05/S-1-247x260.jpg
Toaster,"Pel Toaster kt-212f, Whit..",",900.00",https://salmanelectronics.com/wp-content/uploads/2020/09/pel-toaster-salman-electronics-247x260.jpg
