Date,Product Title,Price,Rating,Review,Sold Products,Image Link
2021-05-13,6 pairs multi color ear ring for girls,88,4.87342,79,41,https://static-01.daraz.pk/p/d399b6a586b44ccadd75c17a6f6a66bd.jpg
2021-05-13,LIPTON YELLOW LABEL TEA 190gm,207,4.78099,242,105,https://static-01.daraz.pk/p/87fd4e095fb061655b8be0ebc6de44fa.jpg
2021-05-13,Lays French Cheese Rs. 10 - 11g,10,4.97297,814,82,https://static-01.daraz.pk/p/3cc437307b1ada4ce698b0a0fc3fc338.jpg
2021-05-13,"Day Night Vision Polarizing glasses Bike, Car Drivers Anti Glare Polarized Night Driving Unisex Sunglasses Goggles Auto Accessories",164,4.625,24,39,https://static-01.daraz.pk/p/a59f0a5425e6f532cec4f4b9c76d795e.jpg
2021-05-13,Pack of 5 - Peel of Facial Cleansing Gold Mask For Blackhead Removal,182,4.53846,26,11,https://static-01.daraz.pk/p/b627f59042eddfc66e4020359a00704d.jpg
2021-05-13,6Pcs Universal Food Silicone Cover Silicone Stretch Lids For Cookware Reusable Stretch Lids silicone lid covers silicone lids,179,4.86207,58,11,https://static-01.daraz.pk/p/6329835e3fe40b588c18a5f8db2da4c5.jpg
2021-05-13,Head Neck Scalp Massager Massage Octopus Equipment Stress Release Relax And Free Steel Back Scratcher,110,4.86047,129,33,https://static-01.daraz.pk/p/4c9f141e2b241db82cd24f3d8d6f5784.jpg
2021-05-13,"NIVEA Soft Moisturizing Cream, Refreshingly Soft, Jar 100ml",239,4.88814,447,7,https://static-01.daraz.pk/p/d99ef108f027241fcf34a594b05753ae.jpg
2021-05-13,Original Chargeable Flawless Facial Hair Remover Device,585,4.98113,53,8,https://static-01.daraz.pk/p/e3d2c68ac7a9a7fbef6314fa4a9d78dc.jpg
2021-05-13,Natural Film Hard Wax Beans - Wax Beans - Imported Wax Beans - Hair Removing Hard Beans Wax Painless Beauty Wax Beans Hair Removal Wax Beads for All Skins Wax Beans for Face Body Legs 100g,208,4.91549,71,24,https://static-01.daraz.pk/p/347e89cbef3a7a90414c43b1c33a443b.jpg
2021-05-13,GTA 4 + Episodes from Liberty City Grand Theft Auto IV - Pc Games Dvds,202,4.65116,43,7,https://static-01.daraz.pk/p/1c69f9d08a89300db35c2b2aac1ad54a.jpg
2021-05-13,Pack of 4 Mini Plant Artificial Decoration Piece with pot Best for home & Office Decoration purpose,195,4.66667,12,23,https://static-01.daraz.pk/p/b82bef09575a6a2a16960fc158a6ac37.jpg
2021-05-13,Lays French Cheese Rs. 30 - 38g,28,4.97403,77,7,https://static-01.daraz.pk/p/57612d7ec4f4aea9f1503eee02c665a1.jpg
2021-05-13,"Aluminium Foil Self Adhesive Sticker Roll, Silver color Kitchen Backsplash Wallpaper, Heat Resistant Oil Proof Waterproof Aluminium Sheet DIY Sticker for Stove, Shelves, Drawers, Home, Cabinet, Furniture, Wall (60cmx200cm) (40cmx200cm)",287,4.95238,63,6,https://static-01.daraz.pk/p/7f8e928b64b5f44afee82ed13f7d5d66.jpg
2021-05-13,2 in 1 Concealer Contour Stick,164,4.6971,241,5,https://static-01.daraz.pk/p/5db15a1ca926fa348a5ee60a3d098e52.jpg
2021-05-13,sk300 earphones orignal handfree godox headphone audio akg bass,236,4.38947,95,12,https://static-01.daraz.pk/p/6e0406e1deec9575cd2a14f2d5e76be2.jpg
2021-05-13,Gaming Mobile Trigger Controller Gamepad Silver Metal R11 Fire Buttons For PUBG/Fortnite/Call of Duty,140,4.54545,33,8,https://static-01.daraz.pk/p/2d2ad02271be7f19184271ca99611b85.jpg
2021-05-13,Handfree Cover Charger Hard Case eva Coin Carrying Bag Earphone Earbuds Hand free Square Shape Storage Handsfree Cable Key Pouch Zipper Fabric Saftey Mini Box,109,4.77406,239,3,https://static-01.daraz.pk/p/d52592ee70f4bcd52547558e02a1495e.jpg
2021-05-13,"Type C Cable USB C Cable 1.2 meters 3A Nylon Braided High Speed Cord USB Type A to C Fast Charging Data Cable for Samsung Galaxy S10 S9 Note 10 9,Moto Z,LG V20 G5,Google Pixel 2XL,OnePlus 5 3T",271,4.9,120,10,https://static-01.daraz.pk/p/f0accf2b3bcd27b8fb36dca43b955d28.jpg
2021-05-13,Pack of 4 Pcs - 1 Facial Hair Band 2 Sponge Puff 1 Facial Mixing Brush - Facial Face Wash Cleansing Sponge Puff Pad Makeup Remover Puff,113,4.71717,99,10,https://static-01.daraz.pk/p/e72fa24e1d54f65b605ef1e6c6d11415.jpg
2021-05-13,"Waterproof Washable Soft Cushion Anti Slip 45 Cm X 150 cm Kitchen Cupboard Shelf, Fridge Shelf And Drawer Liners Mat Roll Drawer Liner Table",201,4.73723,137,9,https://static-01.daraz.pk/p/85c0c3c5ab18417eac33aa32ef15e929.png
2021-05-13,PU Soft Leather Wallet for Men (High Quality) – Pocket Friendly - Multi Purpose Pockets– Card Holder Pockets – Stylish Wallet for Men Original Leather,429,4.92857,42,7,https://static-01.daraz.pk/p/4d39c3a1830d6bd448c9835a756e2e2d.jpg
2021-05-13,"Nordic Style - Kitchen Microwave Oven Dustproof Cover, Electric Microwave Protector Dust Cover Organizer Pouch | Gray Five-Pointed Star - De Styler",106,4.77372,137,5,https://static-01.daraz.pk/p/c66f4a7ec4d28a1113fb0528f38ba598.jpg
2021-05-13,"PUBG Thumb Gloves for Gaming, Anti-Sweatable, Non-Slip, Breathable Thumb Gloves for the best gaming experience. ( 2 Pairs = 4 Pcs )",96,4.94253,87,5,https://static-01.daraz.pk/p/mdc/4027d423fd3ee8a1bca149b3db7c6c99.jpg
2021-05-13,"Mega Box Offer Fashionable Choker, Necklace, Bracelet, Nackless, Jewelery for Girls ETC - Import From USA",243,2.66667,3,6,https://static-01.daraz.pk/p/68e8d0474704c0ad4c271e647362cd65.jpg
2021-05-13,3D Double Sides Multifunctional Silicone Face Cleanser Facial Cleansing Brush Portable Face Cleaning Massage Tool Facial Brush,315,4.90435,115,3,https://static-01.daraz.pk/p/5cd71053c8ab3a52a138c746954075c8.jpg
2021-05-13,"TC Reusable Silicone Magic Washing Gloves with Scrubber, Cleaning Brush Scrubber Gloves Heat Resistant Pair for Cleaning of Kitchen, Dishes, Vegetables and Fruits, Bathroom, Car Wash, Pet Care and Multipurpose",289,4.89706,68,3,https://static-01.daraz.pk/p/6e42b57d945a414a958cc567f9f98095.jpg
2021-05-13,"Original Bluetooth 4.0 handfree Universal Best Quality Bluetooth Wireless Stereo Headset With clear Mic For Iphone , Samsung & For All Android Phones Best For Callings And music",220,4.75,56,3,https://static-01.daraz.pk/p/8d00aa0ab9002e3c2aa03b46fdf57f1a.jpg
2021-05-13,Pack of 24 Peel Off Nail Paints,594,4.73109,119,3,https://static-01.daraz.pk/p/be48f27c0d107f59cc300b78603ccdd9.jpg
2021-05-13,Beautiful Bead Curtain Golden,399,4.63341,431,5,https://static-01.daraz.pk/p/d0da745dfc335aafc53c79b077dae23b.jpg
2021-05-13,Multi-functional Filter Spoon With Clip Food Kitchen Oil-Frying Salad BBQ Filter Kitchen Gadgets Accessories Colanders/frying spoon/kitchen utensil,136,4.78571,28,5,https://static-01.daraz.pk/p/38bf772ffa4d8732b439d226942115e0.jpg
2021-05-13,Colgate 360 Base Toothbrush - Soft,115,4.65385,26,2,https://static-01.daraz.pk/p/1db500ee8d77baf5e1dfb43ac5425d97.jpg
2021-05-13,Palmolive Naturals Silky Straight Shampoo 180ml,176,4.98148,54,2,https://static-01.daraz.pk/p/297ddabc2c4b7889b1b5398cd34e051d.jpg
2021-05-13,"7 days pill box, pills, medicine, vitamin organizer dispenser plastic | Weekly, 2 times a day AM/PM | Clear Air Tight Lids",179,4.94656,131,2,https://static-01.daraz.pk/p/e24c4d5be4a78d8420e9ca50341987e6.jpg
2021-05-13,Surgical Face Mask  70GSM | Pack of 25 Face Mask Black,114,4.77425,536,2,https://static-01.daraz.pk/p/aa629741c98ca44a6a3f7c811b951dcc.jpg
2021-05-13,Tree Branch with Bird Cage Wall Art,381,4.61111,72,1,https://static-01.daraz.pk/p/b0e0e9247378574a67a943110241b924.jpg
2021-05-13,Bts army kpop 32 piece set lomo cards for BTS lovers,462,4.79104,67,1,https://static-01.daraz.pk/p/145d6a47f457baf6d08bf3c3e851a360.jpg
2021-05-13,Best Door Dust Insect Air Stopper Draft -  Under Bottom Seal - Twin Draft Guard For Door and Window 22 23 24 25 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 Inches,126,4.71269,268,1,https://static-01.daraz.pk/p/919a979f1ecc4513dc26c522c375185d.png
2021-05-13,Combo Offer Pack Of 3 POP SOCKET Black Color Universal Smart Grip Holder High Quality Stand For Boys And Girls Mobile Phones & Tablets,145,4.54839,62,2,https://static-01.daraz.pk/p/3c15ca3b6921f7eb33e109d8fa28e499.jpg
2021-05-13,3 Pairs 3D Eye Lashes - High Quality Eyelashes (with free Glue),190,4.72881,177,2,https://static-01.daraz.pk/p/ac97ff146bb267109f51398e9c81c576.jpg
2021-05-13,Mortein Starter Pack- Flying Insect Killer 300ml and Machine Refill 30 Nights,399,4.73171,41,1,https://static-01.daraz.pk/p/a20a19d8cadb7c5dbd6717db6e9a660c.jpg
2021-05-13,Mortein Crawling Insect Killer Coopex Powder 100gm,166,4.66071,56,1,https://static-01.daraz.pk/p/67dd1c794a6e757c4037db3d1cad78a7.jpg
2021-05-13,"Mortein Refill Coil stand, Metal stand Rack Hook for Room Décor Wall Mounted and Mortein Coil Stand",599,5.0,15,1,https://static-01.daraz.pk/p/6e265f9a7c87f3b1c3e60624ffd73579.jpg
2021-05-13,NESTLÉ CERELAC Red Fruits 175gm - Baby Food,257,4.92523,214,1,https://static-01.daraz.pk/p/22c5d5c1841d814b5c7f673e4e1cc51b.jpg
2021-05-13,520 FREE FIRE DIAMONDS (GARENA) ONLY PLAYER ID REQUIRED,620,4.71429,14,0,https://static-01.daraz.pk/p/b79e3118eba1ff61a5ad0653a19809c2.png
2021-05-13,your design poster,32,4.86207,29,0,https://static-01.daraz.pk/p/d02d9a9b9509439252dab4ec715ee901.jpg
2021-05-13,Hair and Beard Straightner,557,5.0,5,0,https://static-01.daraz.pk/p/ead563f256a257d94f169aa4ebcf2dcb.jpg
2021-05-13,LIPTON GREEN TEA BAG WTERMELON MNT 25S,82,4.94737,38,0,https://static-01.daraz.pk/p/90b19cb515b452cb5117f0adde8cc5dd.png
2021-05-13,Dettol Antibacterial Skincare Soap 85g,60,4.93478,92,0,https://static-01.daraz.pk/p/9cbfe8d59965b7c1f1ff7cac9da65b6a.jpg
2021-05-13,Nordic Cast Iron Dots Wall Hooks Antique Finish Metal Clothes Hanger Rack Wall Hook for Room DecorWall Mounted Hook Hanging Shelf Rack for Key Holder Charging USB Cable Key,426,4.9375,32,0,https://static-01.daraz.pk/p/d6c5168034340deeeea15e1432387445.jpg
2021-05-13,Head & Shoulders SUPREME REJUVENATE 200ML,259,4.91791,134,0,https://static-01.daraz.pk/p/2d19d40975f704f9cd190da348600981.jpg
2021-05-13,"Head & Shoulders Classic Clean Shampoo, 1000ml",1099,4.90634,331,0,https://static-01.daraz.pk/p/546897d10e19e3fccdc1758ae5600f0c.jpg
